"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
2.83983,0.98635,0.46647,0.30038,0.46341,0.83652,1.11687,0.95529,0.54672,0.37557,0.39631,0.33925,0.23393,0.17773,0.11792,0.06339
1.57699,8.47545,1.26968,0.35309,0.27822,0.72514,1.09995,1.17434,1.00926,0.524,0.4123,0.29877,0.2548,0.16792,0.08487,0.06156
0.32266,2.60035,12.30756,1.03276,0.39952,0.49958,0.67738,1.08694,1.26199,0.78062,0.49187,0.29389,0.17293,0.13918,0.1012,0.08865
0.22808,0.46744,3.99939,12.54793,1.48316,0.82712,0.69635,1.0285,1.17862,1.15352,0.61854,0.33176,0.16439,0.1017,0.05257,0.03703
0.36067,0.26648,0.32128,2.83892,4.7818,1.93276,1.26124,1.12358,0.99184,1.1764,0.81476,0.48461,0.21922,0.09272,0.08639,0.07157
0.69392,0.3168,0.1655,0.62584,1.95012,3.40295,1.91709,1.4758,1.24598,1.06791,1.05048,0.59126,0.30555,0.1083,0.04995,0.03247
0.74471,0.79296,0.5499,0.32579,0.98307,1.77126,2.68731,1.84898,1.41768,1.1331,0.92261,0.70086,0.37538,0.15493,0.07294,0.06706
0.6942,0.99185,0.81204,0.55858,0.67918,1.33198,1.66249,2.62029,1.92415,1.27687,0.96807,0.5821,0.40006,0.21898,0.12618,0.05031
0.45178,0.77083,0.95647,0.81124,0.86226,1.1945,1.55269,1.75565,2.48767,1.59839,1.16045,0.49505,0.36907,0.18058,0.11656,0.0546
0.30294,0.51103,0.63272,1.01323,0.87871,1.00867,1.19394,1.37901,1.4897,1.89163,1.15638,0.59985,0.29893,0.13837,0.10898,0.09706
0.46033,0.48678,0.6518,0.85754,1.03824,1.38992,1.26276,1.21696,1.62591,1.76851,1.77889,1.0063,0.44232,0.15981,0.10864,0.09422
0.84255,0.84795,0.54711,0.74454,0.87095,1.4077,1.52701,1.18844,1.32191,1.14894,1.41944,1.53406,0.72515,0.28531,0.14052,0.09694
1.07227,0.99423,0.61214,0.63479,0.71311,1.12605,1.28397,1.3587,1.18705,1.02585,0.99422,1.1587,1.18048,0.53511,0.31799,0.13221
0.79661,1.13318,0.87628,0.48994,0.52857,0.73196,1.01418,0.96781,0.94203,0.56248,0.64181,0.68472,0.71002,0.9118,0.33925,0.16416
0.43983,1.16301,0.89512,0.79281,0.26851,0.51835,0.48276,0.85847,0.90759,0.70146,0.5393,0.43476,0.77617,0.70871,0.89581,0.32722
0.3905,0.49583,0.67111,0.53481,0.21038,0.20778,0.33524,0.44483,0.4501,0.48895,0.48245,0.29945,0.23864,0.34,0.30827,0.27093
