"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
0.47414,0.45823,0.2649,0.13339,0.21667,0.36819,0.46676,0.40774,0.18262,0.07366,0.08053,0.05748,0.04156,0.01679,0.00721,0.00908
0.3,0.69967,0.42709,0.17584,0.06075,0.22043,0.43122,0.46799,0.33918,0.12232,0.06295,0.05722,0.03654,0.01917,0.0092,0.00802
0.20034,0.4808,1.19381,0.4061,0.08363,0.06745,0.18182,0.39091,0.45688,0.20232,0.07858,0.03053,0.02012,0.02056,0.01455,0.00751
0.11483,0.19539,0.44818,1.00876,0.22234,0.07526,0.04965,0.21967,0.36802,0.34184,0.1769,0.05626,0.02557,0.01626,0.00807,0.00628
0.21385,0.11269,0.12189,0.40638,0.95788,0.27106,0.06738,0.03218,0.13683,0.31105,0.20257,0.09594,0.02428,0.00728,0.00599,0.00709
0.52269,0.22268,0.08168,0.1376,0.30447,0.82857,0.21868,0.04792,0.02572,0.09166,0.19044,0.10936,0.05269,0.01595,0.00288,0.00765
0.57127,0.63337,0.33784,0.07764,0.10205,0.25304,0.67913,0.21543,0.0794,0.0287,0.05694,0.07247,0.06416,0.01547,0.00898,0.00512
0.53798,0.79832,0.6634,0.29571,0.05464,0.06724,0.17432,0.65181,0.16152,0.04648,0.03548,0.03162,0.04994,0.03116,0.01505,0.00425
0.34443,0.61985,0.72832,0.51594,0.15108,0.05889,0.10912,0.18484,0.56216,0.1413,0.05095,0.01241,0.03709,0.03848,0.01462,0.00901
0.223,0.42024,0.53828,0.66401,0.37143,0.13135,0.05254,0.10954,0.16232,0.53304,0.15542,0.03779,0.0213,0.01663,0.01383,0.02064
0.40232,0.33814,0.47267,0.5193,0.45304,0.31313,0.15652,0.07831,0.11187,0.18374,0.48473,0.15656,0.04077,0.01559,0.01451,0.02789
0.73312,0.72102,0.42076,0.51526,0.40737,0.49592,0.39271,0.15435,0.07664,0.16923,0.27311,0.55017,0.16353,0.06268,0.01284,0.02423
0.99451,0.91357,0.54584,0.48243,0.3103,0.40194,0.47813,0.37567,0.19803,0.101,0.18803,0.26809,0.54825,0.15149,0.03691,0.00853
0.73911,1.05334,0.82515,0.42065,0.31708,0.325,0.51493,0.56869,0.46673,0.16006,0.17682,0.19978,0.21298,0.52038,0.10842,0.02167
0.41787,1.11587,0.82555,0.65508,0.13633,0.31341,0.25428,0.5306,0.48863,0.37092,0.26348,0.13227,0.20896,0.20127,0.36935,0.12701
0.35931,0.4637,0.6225,0.50649,0.14314,0.11309,0.1455,0.28364,0.28673,0.27914,0.32586,0.13518,0.06005,0.10297,0.07595,0.10653
