"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
0.70217,0.30772,0.16131,0.12571,0.21922,0.35613,0.44353,0.39348,0.29168,0.21611,0.26693,0.24354,0.18575,0.15691,0.11071,0.05431
0.33117,1.2628,0.47408,0.13874,0.12121,0.25588,0.33666,0.38664,0.35805,0.17994,0.14725,0.16674,0.17793,0.13035,0.06953,0.05354
0.1139,0.61302,2.22123,0.36628,0.24992,0.22482,0.27968,0.34575,0.43709,0.29045,0.195,0.13251,0.10685,0.1085,0.08665,0.07775
0.06676,0.21276,1.0141,3.20848,0.80129,0.39866,0.27209,0.3368,0.37759,0.35127,0.16206,0.08795,0.07406,0.0662,0.04441,0.03075
0.09478,0.12222,0.18665,1.26807,2.11546,0.88951,0.56805,0.3901,0.33212,0.40514,0.25144,0.18198,0.08412,0.06346,0.07817,0.06422
0.16946,0.08918,0.08225,0.3392,0.97757,1.32697,0.81314,0.56292,0.41206,0.39024,0.33711,0.19753,0.08941,0.06543,0.04612,0.02425
0.16481,0.11859,0.18453,0.15518,0.42385,0.66285,0.8959,0.6613,0.45558,0.3641,0.37742,0.29768,0.15654,0.11218,0.06362,0.06165
0.14151,0.16886,0.13029,0.10174,0.25003,0.4668,0.62958,0.793,0.60532,0.40639,0.28311,0.24521,0.24193,0.16636,0.11037,0.04556
0.10144,0.13327,0.21388,0.1449,0.26831,0.34271,0.50977,0.56948,0.67621,0.43075,0.30206,0.15527,0.16898,0.11798,0.10109,0.04452
0.03085,0.05134,0.06851,0.1378,0.19541,0.25803,0.34102,0.39384,0.41366,0.4435,0.3527,0.17647,0.14418,0.0939,0.09426,0.07592
0.04711,0.08953,0.10411,0.16322,0.30752,0.41524,0.32794,0.32888,0.40741,0.47607,0.38219,0.33094,0.23104,0.12554,0.09319,0.06553
0.07386,0.06654,0.07332,0.09178,0.23712,0.42516,0.47481,0.4073,0.4358,0.32128,0.48184,0.49166,0.3657,0.20305,0.12675,0.07179
0.06099,0.06752,0.05953,0.09975,0.21689,0.35504,0.39489,0.48932,0.46194,0.3913,0.36189,0.49018,0.48975,0.35521,0.2806,0.12282
0.05723,0.07661,0.04987,0.05537,0.16674,0.27703,0.37793,0.35016,0.36489,0.3035,0.34279,0.40569,0.44198,0.38301,0.22856,0.14225
0.02196,0.04714,0.06957,0.13693,0.13099,0.20319,0.22553,0.32454,0.416,0.328,0.27413,0.29922,0.5657,0.5071,0.52644,0.20018
0.03119,0.03213,0.04861,0.02832,0.06395,0.09083,0.18586,0.15423,0.16107,0.20896,0.15574,0.16427,0.17859,0.23682,0.23232,0.1644
