"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
1.66352,0.2204,0.04026,0.04128,0.02752,0.1122,0.20658,0.15407,0.07242,0.0858,0.04885,0.03823,0.00662,0.00403,0,0
0.94582,6.51298,0.36851,0.03851,0.09626,0.24883,0.33207,0.31971,0.31203,0.22174,0.2021,0.07481,0.04033,0.0184,0.00614,0
0.00842,1.50653,8.89252,0.26038,0.06597,0.20731,0.21588,0.35028,0.36802,0.28785,0.21829,0.13085,0.04596,0.01012,0,0.00339
0.04649,0.05929,2.53711,8.21029,0.24968,0.21597,0.24669,0.35315,0.29921,0.35143,0.20982,0.14876,0.04685,0.01414,0,0
0.05204,0.03157,0.01274,1.02303,1.11298,0.12327,0.08424,0.10477,0.06786,0.08371,0.0474,0.03799,0.00354,0.00805,0.00129,0
0.00177,0.00494,0.00157,0.00768,0.02371,0.01358,0.00242,0.00325,0.00392,0.00346,0.00097,0.00179,0.00074,0.00053,0.00012,0.00032
0.00863,0.041,0.02753,0.01658,0.0107,0.01835,0.01697,0.01195,0.01324,0.00695,0.00608,0.00105,0.00233,0.00024,0,0
0.01471,0.02467,0.01835,0.00881,0.00426,0.01199,0.01702,0.01291,0.01464,0.00707,0.00112,0.00296,0.00025,0.00114,0,0
0.00591,0.01771,0.01427,0.05429,0.00258,0.00757,0.00756,0.01038,0.02273,0.00817,0.00978,0.00309,0.0031,0.00033,0,0
0.04909,0.03945,0.02593,0.08731,0.00186,0.00939,0.01844,0.01619,0.01542,0.00935,0.01233,0.0064,0.00187,0.00115,0,0
0.0109,0.05911,0.07502,0.07572,0.00167,0.0043,0.01221,0.01224,0.01555,0.02143,0.01161,0.00695,0.00231,0,0,0
0.03557,0.06039,0.05303,0.05696,0.00199,0.01715,0.00678,0.01153,0.01481,0.01081,0.01003,0.01236,0.00441,0,0.00045,0.00044
0.01677,0.01314,0.00677,0.03035,0.00408,0.00054,0.00501,0.0141,0.00315,0.00502,0.00413,0.00228,0.00859,0.00497,0,0
0.00027,0.00323,0.00126,0,0.00028,0.00027,0.00175,0.00077,0.00078,0.00126,0.00029,0.00226,0.00126,0.00276,0.00177,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
