"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.1204,0.20985,0.13723,0.12792,0.11888,0.1338,0.10898,0.06976,0.03879,0.01791,0.0051,9e-05,0
0,0,0,0.14144,0.59548,0.64892,0.54157,0.59653,0.45503,0.3765,0.31335,0.1687,0.10728,0.01393,0.00094,0.00026
0,0,0,0.14136,0.64437,1.23383,0.88285,0.86171,0.80428,0.58255,0.52196,0.28258,0.16271,0.02639,0.00083,0.00025
0,0,0,0.07639,0.44647,0.83702,1.09531,0.9603,0.86946,0.73335,0.48217,0.32966,0.15235,0.02704,0.00034,0.00029
0,0,0,0.15232,0.37025,0.78595,0.84157,1.16257,1.14267,0.81693,0.64836,0.30231,0.10794,0.02032,0.00076,5e-04
0,0,0,0.09611,0.44029,0.78533,0.92624,0.99095,1.22657,1.01817,0.79766,0.32428,0.1599,0.02379,0.00085,0.00107
0,0,0,0.12411,0.31001,0.6099,0.78194,0.85944,0.8983,0.90574,0.63593,0.37919,0.13158,0.02669,0.00089,5e-04
0,0,0,0.0993,0.27601,0.65725,0.76609,0.79753,1.09108,1.08727,0.90036,0.51185,0.1682,0.01868,0.00094,8e-04
0,0,0,0.08054,0.22447,0.46947,0.65271,0.61526,0.79466,0.64762,0.65446,0.47987,0.19151,0.01958,0.00048,0.00048
0,0,0,0.02226,0.18184,0.36853,0.40594,0.47961,0.52393,0.52853,0.44017,0.39815,0.13389,0.02344,0.00048,0.00086
0,0,0,0.01392,0.04447,0.12966,0.11957,0.04819,0.10963,0.09766,0.12191,0.07699,0.0538,0.00565,5e-04,0.00024
0,0,0,8e-04,0.00119,0.00175,0.00295,0.00333,0.00296,0.00254,0.00169,0.00327,0.00151,0.00034,2e-05,3e-05
0,0,0,0,0.00329,0.00386,0.00388,0.00696,0.0023,0.00085,0.00085,0,0,0.00021,0,0
